i, j, number of events processed, number of events selected
0, 0, 56773, 150
1, 0, 56577, 117
2, 0, 56901, 137
3, 0, 56214, 127
4, 0, 56273, 124
5, 0, 56364, 125
6, 0, 56697, 141
7, 0, 56884, 102
8, 0, 56591, 144
9, 0, 56424, 116
10, 0, 56715, 136
11, 0, 56513, 129
13, 0, 56839, 129
12, 0, 56751, 150
14, 0, 56849, 113
15, 0, 56293, 137
16, 0, 56908, 124
17, 0, 56746, 128
18, 0, 56831, 121
19, 0, 56423, 131
20, 0, 56486, 120
21, 0, 56867, 116
22, 0, 56403, 110
23, 0, 56801, 115
24, 0, 56477, 121
25, 0, 56530, 134
26, 0, 56647, 108
27, 0, 56784, 135
28, 0, 56501, 129
29, 0, 56649, 125
31, 0, 56756, 126
30, 0, 56810, 113
33, 0, 56722, 111
32, 0, 57006, 124
34, 0, 56865, 111
35, 0, 56654, 115
36, 0, 56764, 113
37, 0, 56904, 125
38, 0, 56885, 126
39, 0, 56815, 116
40, 0, 56584, 126
41, 0, 56731, 116
42, 0, 56857, 109
43, 0, 56529, 103
44, 0, 56923, 130
45, 0, 56466, 133
46, 0, 56763, 126
47, 0, 56916, 136
48, 0, 56352, 124
49, 0, 57022, 129
50, 0, 56777, 141
51, 0, 56495, 116
52, 0, 56515, 128
53, 0, 57096, 106
54, 0, 56634, 131
55, 0, 56558, 119
56, 0, 56767, 119
59, 0, 56307, 115
58, 0, 56814, 118
57, 0, 57047, 133
60, 0, 56644, 135
61, 0, 56901, 114
62, 0, 56633, 112
63, 0, 56703, 107
64, 0, 56780, 150
65, 0, 57193, 122
66, 0, 56597, 122
67, 0, 57015, 111
68, 0, 56773, 129
69, 0, 56449, 124
70, 0, 56560, 125
71, 0, 56469, 129
72, 0, 56692, 135
73, 0, 56789, 146
74, 0, 56599, 112
75, 0, 56275, 139
77, 0, 56543, 124
76, 0, 56635, 122
78, 0, 56869, 98
79, 0, 56796, 97
80, 0, 56522, 118
82, 0, 56821, 124
81, 0, 56548, 124
83, 0, 56853, 114
84, 0, 56649, 125
85, 0, 57168, 121
86, 0, 56938, 125
87, 0, 56426, 118
88, 0, 57068, 134
89, 0, 56535, 134
90, 0, 56212, 120
91, 0, 56731, 138
92, 0, 56809, 123
93, 0, 56672, 117
94, 0, 56778, 140
96, 0, 56896, 148
95, 0, 56618, 124
97, 0, 56475, 153
98, 0, 56658, 109
99, 0, 56825, 134
100, 0, 56581, 111
102, 0, 56788, 133
101, 0, 56694, 133
103, 0, 56525, 93
104, 0, 56804, 125
105, 0, 56722, 117
106, 0, 56211, 125
107, 0, 56400, 148
108, 0, 56987, 110
109, 0, 56669, 137
110, 0, 56616, 107
113, 0, 56428, 135
112, 0, 57057, 111
111, 0, 56538, 130
114, 0, 56913, 142
115, 0, 56761, 120
116, 0, 56625, 132
117, 0, 56762, 122
118, 0, 56645, 127
119, 0, 56780, 123
120, 0, 56550, 137
121, 0, 57207, 124
122, 0, 56740, 119
123, 0, 57058, 128
124, 0, 56458, 112
125, 0, 57293, 120
126, 0, 56272, 136
127, 0, 56384, 130
128, 0, 56643, 123
129, 0, 57056, 121
131, 0, 56453, 113
133, 0, 56661, 115
132, 0, 56790, 138
134, 0, 56659, 132
130, 0, 56515, 119
135, 0, 56764, 102
136, 0, 56490, 137
137, 0, 56841, 141
138, 0, 56580, 142
139, 0, 56682, 102
140, 0, 56650, 143
143, 0, 56533, 127
142, 0, 56512, 122
141, 0, 56446, 120
145, 0, 56462, 99
144, 0, 56672, 119
146, 0, 56656, 97
147, 0, 56884, 132
148, 0, 56793, 134
149, 0, 56700, 138
150, 0, 56322, 118
151, 0, 56647, 113
